Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.361
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.126
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0203
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.0874
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1990,0.7849999999999999
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,0.00329
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,0.5700000000000001
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,0.25
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,0.0404
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,0.0133
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,0.174
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1991,1.16
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.0128999999999999
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.916
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.4349999999999999
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.000111
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.0967
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.0389
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,0.261
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1992,1.72
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,1993,0.0255
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,1993,1.18
